chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL6395,Cc1ccc2c(c1)C1(OCCO1)C(=O)N2,WEKVUWUYWCGLCK-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6616,COc1cc(CC(C)N)c(OC)cc1I,BGMZUEKZENQUJY-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6698,Oc1ccc2nc(N3CCNCC3)cnc2c1,KYFDYSTWCFITTH-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL6398,CNC(=N)NCCCC(N)P(=O)(O)O,SGRXBUFWCPMGAO-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6486,CCOC(=O)CNC(=O)c1cc(-c2ccncc2)nnc1Cl,AGKQNXQFCSQZAS-UHFFFAOYSA-N,8,3;2;2;1;1;1;1;1
CHEMBL6940,Nc1nc(N)c2cc(NC(=O)Cc3ccc(Cl)c(Cl)c3)ccc2n1,DMFIFRJKTMUJGR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6618,Nc1nc(N)c2nc(Sc3ccc4ccccc4c3)cnc2n1,CQSNOLHCEIHDLG-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6620,COc1cc(C(F)(F)F)c(OC)cc1CC(C)N,WPGOTSORDNBMHP-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6352,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,OKZQSFTUAACQQS-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6308,CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,UCDCRZKJVUTXFG-UHFFFAOYSA-N,8,3;2;2;1;1;1;1;1
CHEMBL6401,NC(N)=NCCCC(N)[PH](=O)O,QJSNYLAWEFWUGH-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6626,Brc1ccc2[nH]c3c(c2c1)CCN=C3,PAHAIWFYCZHWKN-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6469,C[C@]1(/C=C\C#N)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O.[Na+],QXEYKECJAQHXEF-FCHKYLNPSA-M,8,3;1;1;1;1;1;1;1
CHEMBL6569,O=[N+]([O-])c1ccc2nc(N3CCNCC3)cnc2c1,BGTFKMGKEHWOMQ-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL6798,O=C1Nc2ccccc2C12SCCS2,QAYGJICGCHGPFV-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6573,N/C(=N/CCCC(N)[PH](=O)O)N[N+](=O)[O-],GWSFKOTWSDKFRJ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],MOYKHGMNXAOIAT-JGWLITMVSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6355,O=c1oc2ccccc2c2ccccc12,TVKNXKLYVUVOCV-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6451,COc1noc2c1CNCC2.Cl,SCPYRRZFPGLILV-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6781,CCOC(=O)c1cc2ccccn2c(=O)n1,ZEQRWNXZVWBQHA-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6607,COc1cc(CC(C)N)c(OC)cc1Br,FXMWUTGUCAKGQL-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6392,Cc1cc(O)nc2c3c(ccc12)OC(C)(C)C=C3,FCVQLBDLMFSDAX-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
