chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL7481,Nc1nc(N)c2c(Cl)c(NC(=O)Cc3cccc(Br)c3)ccc2n1,WPQXUHSYYNHFNL-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8041,NC1=NC(c2cccs2)Cc2ccsc21,LSTQFUCKHDHNPQ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7882,CC(N)(CCCC(N)C(=O)O)C(=O)O,TVZGBXIJPFGQBJ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL4553585,Cc1cc(C(=O)NCC(=O)Nc2ccccc2Br)on1,PHBJEMAAWSVLOA-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7975,O=C(O)C1Cc2cc3c(-c4ccccc4F)noc3c(Br)c2O1,HBROVBDIORINMY-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL3311068,c1coc(-c2nnc3sc(-c4ccc5c(c4)OCO5)nn23)c1,YKZDHLPJIKLMDU-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL4553681,CCOC(=O)CN1C(=O)c2ccc(Br)cc2C1=O,QOQGVDUMTYUNOF-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL1214400,FC(F)(F)c1ccc(Nc2ccnc3nc(-c4ncc(Br)cc4C(F)(F)F)cnc23)nc1,BWYJOKHOAVCUHR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6236,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,DRZJIUZHBUPPIJ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6425,C/N=C(\NC1c2cc(C#N)ccc2OC(C)(C)[C@H]1O)NS(N)(=O)=O,IIHOTYSFXJVMKX-KIYNQFGBSA-N,8,3;3;3;1;1;1;1;1
CHEMBL1207158,O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1cccc(O)c1,AEXSAHUNXPPRNH-SNAWJCMRSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6222,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,NIRBVFLCQJVJOQ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6415,O=C1NCCN(c2cccnc2)N1,STPWRBQEZQQXKR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6320,Cc1ccc([S+]([O-])c2cncc3sc(C(N)=O)cc23)cc1,UDXYEVHQVWGZNF-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
